[Connect DataFile][1.1]
Date:;04/06/2025
Time:;14:48:53,583
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:09,150;316,4;449,1;469,8;480,7;503,2;
00:00:09,200;277,7;453,1;448,4;474,2;483,2;
00:00:09,250;175,1;453,7;477,0;480,5;501,9;
00:00:09,300;296,8;455,1;484,8;488,4;507,3;
00:00:09,350;296,8;455,1;484,8;488,4;507,3;
00:00:09,400;315,8;462,2;491,1;496,5;514,9;
00:00:09,450;269,5;474,4;489,1;488,7;507,5;
00:00:09,500;291,8;463,9;483,4;488,5;511,2;
00:00:09,550;314,0;453,4;477,6;488,3;514,9;
00:00:09,600;314,7;456,7;479,4;492,3;521,2;
00:00:09,650;297,8;457,9;479,7;490,4;515,5;
00:00:09,700;280,9;459,1;480,0;488,4;509,7;
00:00:09,750;311,1;452,1;475,6;485,2;507,2;
00:00:09,800;314,9;440,7;470,4;480,6;502,2;
00:00:09,850;210,3;452,8;473,8;479,4;500,2;
00:00:09,900;237,1;453,1;481,3;483,1;502,1;
00:00:09,950;312,0;441,7;472,3;479,8;501,1;
00:00:10,000;316,9;452,2;481,9;488,3;507,6;
00:00:10,050;311,2;466,7;491,3;494,4;512,7;
00:00:10,100;215,0;463,0;479,0;483,1;505,8;
00:00:10,150;304,8;455,5;479,3;487,8;511,2;
00:00:10,200;267,1;462,8;481,4;488,7;510,8;
00:00:10,250;229,3;470,1;483,4;489,5;510,4;
00:00:10,300;202,9;458,5;475,8;482,4;503,8;
00:00:10,350;214,1;437,2;443,3;469,0;481,6;
00:00:10,400;313,7;436,0;464,1;475,3;499,3;
00:00:10,450;298,3;448,5;484,1;487,2;504,6;
00:00:10,500;227,3;441,5;452,8;476,9;476,2;
00:00:10,550;309,9;436,4;466,8;476,0;499,9;
00:00:10,600;315,1;441,8;471,4;478,7;498,1;
00:00:10,650;242,6;452,8;474,9;480,0;500,7;
00:00:10,700;170,0;463,8;478,3;481,3;503,3;
00:00:10,750;286,8;457,4;481,6;487,5;509,4;
00:00:10,800;310,0;450,6;473,2;486,1;512,7;
00:00:10,850;300,6;465,1;482,5;491,5;514,0;
00:00:10,900;175,3;455,9;467,3;478,6;501,8;
00:00:10,950;290,9;451,1;473,3;483,0;503,7;
00:00:11,000;310,7;437,6;460,2;470,4;493,7;
00:00:11,050;309,1;434,2;471,3;480,6;501,3;
00:00:11,100;218,8;448,5;474,4;477,7;496,9;
00:00:11,150;302,9;441,4;474,4;479,9;500,2;
00:00:11,200;306,9;457,5;461,5;483,2;485,8;
00:00:11,250;306,6;461,4;486,8;490,4;508,9;
00:00:11,300;201,4;458,6;469,7;474,1;497,4;
00:00:11,350;255,7;452,6;469,7;478,2;503,3;
00:00:11,400;310,0;446,6;469,6;482,2;509,2;
00:00:11,450;306,8;455,9;477,5;488,8;513,9;
00:00:11,500;244,0;441,3;449,5;471,1;478,6;
00:00:11,550;296,1;449,9;472,1;481,9;503,0;
00:00:11,600;306,6;440,4;463,8;473,5;494,4;
00:00:11,650;239,1;441,3;465,1;472,4;493,3;
00:00:11,700;171,5;442,1;466,3;471,3;492,1;
00:00:11,750;283,0;445,3;477,4;479,7;497,8;
00:00:11,800;307,8;434,0;464,8;472,8;493,9;
00:00:11,850;307,3;451,7;481,3;487,9;504,5;
00:00:11,900;281,8;464,5;483,5;483,5;500,9;
00:00:11,950;227,1;456,8;476,3;480,5;501,5;
00:00:12,000;304,4;446,5;469,2;481,1;505,5;
00:00:12,050;307,4;446,4;469,3;483,4;510,4;
00:00:12,100;240,8;456,3;471,7;482,0;505,0;
00:00:12,150;266,1;450,3;471,7;479,8;500,0;
00:00:12,200;285,6;439,5;468,7;478,0;498,1;
00:00:12,250;305,1;428,7;465,6;476,2;496,2;
00:00:12,300;222,5;445,7;470,5;474,2;491,9;
00:00:12,350;264,4;437,7;465,0;471,1;490,5;
00:00:12,400;306,2;429,6;459,4;467,9;489,1;
00:00:12,450;307,1;440,7;472,0;479,2;497,0;
00:00:12,500;258,7;448,7;474,7;480,3;499,4;
00:00:12,550;210,3;456,6;477,4;481,3;501,8;
00:00:12,600;295,0;448,3;472,3;481,3;503,0;
00:00:12,650;303,7;446,5;468,5;482,0;507,4;
00:00:12,700;243,8;461,4;477,9;485,2;504,6;
00:00:12,750;181,0;450,5;466,9;473,9;494,7;
00:00:12,800;296,0;441,0;464,5;475,0;494,5;
00:00:12,850;306,4;427,2;455,4;466,2;489,8;
00:00:12,900;296,2;437,0;475,3;478,7;495,5;
00:00:12,950;224,6;438,9;468,0;471,3;490,8;
00:00:13,000;301,8;427,3;460,6;468,5;490,8;
00:00:13,050;305,4;430,9;461,6;468,8;487,7;
00:00:13,100;293,8;453,0;478,4;482,2;498,5;
00:00:13,150;165,8;455,4;469,9;472,4;493,9;
00:00:13,200;234,5;448,8;467,0;475,7;500,4;
00:00:13,250;303,1;442,1;464,0;478,9;506,8;
00:00:13,300;297,5;455,8;474,7;483,8;506,7;
00:00:13,350;297,4;447,9;469,4;479,2;500,7;
00:00:13,400;297,2;439,9;464,0;474,5;494,6;
00:00:13,450;302,9;429,5;452,7;463,4;486,2;
00:00:13,500;250,2;434,3;460,8;466,6;487,0;
00:00:13,550;197,5;439,1;468,8;469,7;487,7;
00:00:13,600;293,3;433,8;468,2;472,5;490,8;
00:00:13,650;303,9;430,4;461,9;468,5;488,2;
00:00:13,700;300,5;451,4;478,4;484,2;500,6;
00:00:13,750;207,1;452,7;462,8;467,7;488,2;
00:00:13,800;246,0;447,7;470,6;477,2;498,0;
00:00:13,850;301,6;438,6;460,9;474,5;500,5;
00:00:13,900;298,8;445,0;467,2;480,4;505,7;
00:00:13,950;215,0;451,9;467,7;475,9;495,8;
00:00:14,000;284,9;441,0;465,0;475,0;494,0;
00:00:14,050;288,2;436,7;467,2;475,1;492,2;
00:00:14,100;291,4;432,4;469,4;475,1;490,3;
00:00:14,150;170,9;430,9;458,2;463,9;484,0;
00:00:14,200;236,4;428,5;457,5;464,0;483,6;
00:00:14,250;301,9;426,1;456,8;464,1;483,2;
00:00:14,300;299,8;441,2;472,6;479,3;495,4;
00:00:14,350;285,2;443,6;471,8;478,4;496,4;
00:00:14,400;270,5;446,0;470,9;477,4;497,3;
00:00:14,450;294,7;437,9;462,0;474,2;497,2;
